UserID,Age,Gender,HeightCM,WeightKG,ActivityLevel,Goal,DietPreference,BMI,BMIClass,BMR,TDEE
U0001,25,female,157.1,73.2,light,lose_weight,none,29.7,overweight,1428.0,1964.0
U0002,17,male,170.8,59.8,sedentary,lose_weight,high-protein,20.5,normal,1586.0,1903.0
U0003,46,female,163.3,40.0,light,maintain,vegetarian,15.0,underweight,1030.0,1416.0
U0004,49,female,164.0,46.8,light,gain_muscle,vegetarian,17.4,underweight,1087.0,1495.0
U0005,53,male,164.3,70.4,sedentary,gain_muscle,vegan,26.1,overweight,1471.0,1765.0
U0006,62,female,159.6,55.5,light,lose_weight,vegetarian,21.8,normal,1082.0,1488.0
U0007,40,female,172.5,67.6,moderate,gain_muscle,none,22.7,normal,1393.0,2159.0
U0008,56,female,168.0,84.7,moderate,lose_weight,low-carb,30.0,obese,1456.0,2257.0
U0009,51,male,175.7,68.4,moderate,lose_weight,low-carb,22.2,normal,1532.0,2375.0
U0010,29,male,176.0,93.8,sedentary,maintain,none,30.3,obese,1898.0,2278.0
U0011,57,male,158.5,75.7,sedentary,lose_weight,vegetarian,30.1,obese,1468.0,1762.0
U0012,18,female,170.3,52.2,active,gain_muscle,high-protein,18.0,underweight,1335.0,2303.0
U0013,45,female,161.5,51.0,active,lose_weight,low-carb,19.6,normal,1133.0,1954.0
U0014,62,female,155.4,40.0,very_active,lose_weight,vegetarian,16.6,underweight,900.0,1710.0
U0015,48,male,176.3,76.2,very_active,maintain,none,24.5,normal,1629.0,3095.0
U0016,61,male,167.2,66.0,moderate,lose_weight,vegan,23.6,normal,1405.0,2178.0
U0017,18,female,153.5,52.8,active,lose_weight,none,22.4,normal,1236.0,2132.0
U0018,42,male,167.6,64.2,light,lose_weight,vegan,22.9,normal,1484.0,2040.0
U0019,54,female,165.1,61.6,active,lose_weight,vegetarian,22.6,normal,1217.0,2099.0
U0020,47,female,148.4,61.9,very_active,gain_muscle,vegetarian,28.1,overweight,1150.0,2185.0
U0021,59,female,157.7,53.7,active,lose_weight,none,21.6,normal,1067.0,1841.0
U0022,38,male,164.6,82.6,light,maintain,vegetarian,30.5,obese,1670.0,2296.0
U0023,49,female,151.3,52.0,light,maintain,vegetarian,22.7,normal,1060.0,1458.0
U0024,36,female,161.4,53.7,light,maintain,none,20.6,normal,1205.0,1657.0
U0025,58,female,160.4,48.6,light,lose_weight,none,18.9,normal,1038.0,1427.0
U0026,21,male,190.4,73.6,active,maintain,none,20.3,normal,1826.0,3150.0
U0027,28,male,181.5,89.9,moderate,gain_muscle,high-protein,27.3,overweight,1898.0,2942.0
U0028,20,male,177.0,40.0,sedentary,lose_weight,vegetarian,12.8,underweight,1411.0,1693.0
U0029,50,male,171.4,60.0,moderate,gain_muscle,vegan,20.4,normal,1426.0,2210.0
U0030,27,female,152.0,40.0,light,lose_weight,vegetarian,17.3,underweight,1054.0,1449.0
U0031,31,female,158.7,65.9,moderate,lose_weight,high-protein,26.2,overweight,1335.0,2069.0
U0032,56,female,157.3,59.1,light,maintain,vegetarian,23.9,normal,1133.0,1558.0
U0033,33,male,166.5,65.6,moderate,lose_weight,none,23.7,normal,1537.0,2382.0
U0034,23,male,167.1,76.7,moderate,lose_weight,none,27.5,overweight,1701.0,2637.0
U0035,17,male,170.8,59.3,moderate,lose_weight,none,20.3,normal,1580.0,2449.0
U0036,27,male,164.6,70.7,active,lose_weight,high-protein,26.1,overweight,1606.0,2770.0
U0037,60,male,163.4,50.1,light,maintain,vegan,18.8,normal,1227.0,1687.0
U0038,42,male,171.6,50.3,moderate,lose_weight,high-protein,17.1,underweight,1370.0,2124.0
U0039,64,male,165.8,47.9,sedentary,gain_muscle,vegan,17.4,underweight,1200.0,1440.0
U0040,26,female,160.9,49.8,light,gain_muscle,high-protein,19.2,normal,1213.0,1668.0
U0041,33,male,166.5,65.3,moderate,lose_weight,low-carb,23.6,normal,1534.0,2378.0
U0042,23,female,159.6,53.9,moderate,lose_weight,vegan,21.2,normal,1260.0,1953.0
U0043,35,female,150.2,49.7,very_active,lose_weight,none,22.0,normal,1100.0,2090.0
U0044,43,male,170.7,52.1,light,gain_muscle,none,17.9,underweight,1378.0,1895.0
U0045,55,female,155.4,67.2,active,lose_weight,vegetarian,27.8,overweight,1207.0,2082.0
U0046,34,female,166.2,67.4,light,lose_weight,high-protein,24.4,normal,1382.0,1900.0
